algorithm,graph_name,vertices,edges,colors_used,known_optimal,runtime_ms,status
welsh_powell,miles750,128,2113,32,,0.030,ok
welsh_powell,mulsol.i.1,197,3925,49,,0.057,ok
welsh_powell,mulsol.i.2,188,3885,31,,0.048,ok
welsh_powell,mulsol.i.3,184,3916,31,,0.048,ok
welsh_powell,mulsol.i.4,185,3946,31,,0.047,ok
welsh_powell,mulsol.i.5,186,3973,31,,0.049,ok
welsh_powell,myciel3,11,20,4,,0.001,ok
welsh_powell,myciel4,23,71,5,,0.002,ok
welsh_powell,myciel5,47,236,6,,0.003,ok
welsh_powell,myciel6,95,755,7,,0.007,ok
welsh_powell,myciel7,191,2360,8,,0.015,ok
welsh_powell,queen10_10,100,1470,17,,0.015,ok
welsh_powell,queen11_11,121,1980,18,,0.020,ok
welsh_powell,queen12_12,144,2596,20,,0.027,ok
welsh_powell,queen13_13,169,3328,20,,0.032,ok
welsh_powell,queen14_14,196,4186,24,,0.042,ok
welsh_powell,queen15_15,225,5180,24,,0.050,ok
welsh_powell,queen16_16,256,6320,26,,0.067,ok
welsh_powell,queen5_5,25,160,7,,0.003,ok
welsh_powell,queen6_6,36,290,9,,0.004,ok
welsh_powell,queen7_7,49,476,13,,0.010,ok
welsh_powell,queen8_12,96,1368,16,,0.014,ok
welsh_powell,queen8_8,64,728,13,,0.008,ok
welsh_powell,queen9_9,81,1056,16,,0.011,ok
welsh_powell,school1,385,19095,32,,0.158,ok
welsh_powell,school1_nsh,352,14612,32,,0.126,ok
welsh_powell,zeroin.i.1,211,4100,49,,0.061,ok
welsh_powell,zeroin.i.2,211,3541,30,,0.038,ok
welsh_powell,zeroin.i.3,206,3540,30,,0.038,ok
simulated_annealing,DSJC1000.1,1000,49629,40,,33.153,ok
simulated_annealing,DSJC1000.5,1000,249826,141,,616.191,ok
simulated_annealing,DSJC1000.9,1000,449449,348,,1440.941,ok
simulated_annealing,DSJC125.1,125,736,7,,0.629,ok
simulated_annealing,DSJC125.5,125,3891,30,,1.266,ok
simulated_annealing,DSJC125.9,125,6961,58,,2.190,ok
simulated_annealing,DSJC250.1,250,3218,12,,2.490,ok
simulated_annealing,DSJC250.5,250,15668,48,,6.768,ok
simulated_annealing,DSJC250.9,250,27897,106,,13.738,ok
simulated_annealing,DSJC500.1,500,12458,21,,4.964,ok
simulated_annealing,DSJC500.5,500,62624,83,,70.262,ok
simulated_annealing,DSJC500.9,500,112437,191,,166.094,ok
simulated_annealing,DSJR500.1,500,3555,13,,3.334,ok
simulated_annealing,DSJR500.1c,500,121275,203,,137.999,ok
simulated_annealing,DSJR500.5,500,58862,133,,72.401,ok
simulated_annealing,anna,138,493,11,,0.635,ok
simulated_annealing,david,87,406,11,,0.482,ok
